#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	3477	5	N	N	1	both	*	1
contig_2	3180	4	N	N	1	both	*	2
contig_3	6148	3	N	N	1	both	*	3
contig_4	4356	4	N	N	1	left	*	4,-5
contig_16	4419	4	N	N	1	right	*	90,16
contig_18	2045	5	N	N	1	both	*	18
contig_19	1016	3	N	N	1	both	*	19
contig_33	2227	5	N	N	1	both	*	33
contig_34	3227	4	N	N	1	both	*	34
contig_35	4070	4	N	N	1	both	*	35
contig_39	5684	3	N	N	1	both	*	39
contig_40	2263	3	N	N	1	both	*	40
contig_41	12291	6	N	N	1	none	*	-12,-12,-12,-14,23,41,-23,7,6,6,6,6,6,7,6
contig_44	3703	3	N	N	1	both	*	44
contig_45	3144	3	N	N	1	both	*	45
contig_47	2270	0	N	N	1	both	*	47
contig_48	2250	3	N	N	1	both	*	48
contig_50	2230	5	N	N	1	both	*	50
contig_51	2909	3	N	N	1	both	*	51
contig_52	2851	5	N	N	1	both	*	52
contig_55	2204	3	N	N	1	both	*	55
contig_56	2567	5	N	N	1	both	*	56
contig_57	3835	4	N	N	1	both	*	57
contig_58	4009	3	N	N	1	both	*	58
contig_59	5577	3	N	N	1	both	*	59
contig_60	4131	5	N	N	1	both	*	60
contig_61	5387	8	N	N	1	none	*	63,-62,61,62
contig_64	1567	3	N	N	1	both	*	64
contig_65	3279	3	N	N	1	both	*	65
contig_66	2577	3	N	N	1	both	*	66
contig_67	1153	6	N	N	1	both	*	67
contig_68	3861	3	N	N	1	both	*	68
contig_71	2755	4	N	N	1	both	*	71
contig_72	2472	3	N	N	1	both	*	72
contig_75	1721	3	N	N	1	both	*	75
contig_76	5537	3	N	N	1	both	*	76
contig_78	2268	3	N	N	1	both	*	78
contig_79	2561	5	N	N	1	both	*	79
contig_80	2437	3	N	N	1	both	*	80
contig_86	6361	6	N	N	1	none	*	85,86,-88
contig_91	2536	3	N	N	1	both	*	91
contig_92	2504	3	N	N	1	both	*	92
contig_94	8648	7	N	N	1	none	*	93,94,-96,96,-95
contig_101	6724	4	N	N	1	none	*	104,-105,101,-100,-98,-97,96,-97,96,99
contig_106	5537	3	N	N	1	both	*	106
contig_107	4122	3	N	N	1	both	*	107
contig_108	4266	3	N	N	1	both	*	108
contig_110	2451	3	N	N	1	both	*	110
contig_115	2234	3	N	N	1	both	*	115
contig_116	2226	3	N	N	1	both	*	116
contig_117	4091	3	N	N	1	both	*	117
contig_119	2731	3	N	N	1	both	*	119
contig_120	2712	3	N	N	1	both	*	120
contig_121	5922	5	N	N	1	none	*	-200,121,122
contig_123	4060	5	N	N	1	both	*	123
contig_125	962	4	N	N	1	both	*	125
contig_127	5935	6	Y	N	1	none	*	127
contig_128	2447	3	N	N	1	both	*	128
contig_129	5473	3	Y	N	1	none	*	129
contig_131	2365	3	N	N	1	both	*	131
contig_132	3297	3	N	N	1	both	*	132
contig_133	2273	3	N	N	1	both	*	133
contig_134	6001	3	N	N	1	both	*	134
contig_135	1434	6	N	N	1	both	*	135
contig_137	2508	3	N	N	1	both	*	137
contig_138	5238	4	N	N	1	both	*	138
contig_139	2231	3	N	N	1	both	*	139
contig_140	3139	5	N	N	1	both	*	140
contig_141	1427	4	N	N	1	both	*	141
contig_145	2028	7	N	N	1	both	*	145
contig_149	2968	3	N	N	1	both	*	149
contig_150	4591	3	N	N	1	both	*	150
contig_151	1232	4	N	N	1	both	*	151
contig_153	4913	5	N	N	1	none	*	152,-152,152,-152,153,154
contig_155	3944	3	N	N	1	both	*	155
contig_156	2891	4	N	N	1	both	*	156
contig_158	5302	4	N	N	1	both	*	157,158,-157,-157
contig_159	3334	7	N	N	1	both	*	159
contig_160	2879	3	N	N	1	both	*	160
contig_162	5464	3	N	N	1	both	*	-161,162,161
contig_163	2895	3	N	N	1	both	*	163
contig_165	3835	3	N	N	1	both	*	165
contig_172	2913	3	N	N	1	both	*	172
contig_173	2415	3	N	N	1	both	*	173
contig_175	2889	7	N	N	1	none	*	175,-174
contig_176	2605	3	N	N	1	both	*	176
contig_177	2637	3	N	N	1	both	*	177
contig_178	2214	4	N	N	1	both	*	178
contig_185	5829	3	Y	N	1	none	*	185
contig_195	5812	4	Y	N	1	none	*	195
contig_198	5227	4	N	N	1	right	*	31,198
contig_207	4594	3	N	N	1	both	*	207
contig_209	8302	4	Y	N	1	none	*	209
contig_214	5536	4	Y	N	1	none	*	214
contig_8	521	274	N	Y	16	none	*	8
contig_9	574	143	N	Y	8	none	*	9
contig_10	521	388	N	Y	23	none	*	10
contig_11	1644	4	N	Y	1	none	*	11
contig_13	2924	1	N	Y	1	none	*	13
contig_15	926	2	N	Y	1	none	*	15
contig_17	525	1	N	Y	1	left	*	17
contig_20	500	2	N	Y	1	none	*	20
contig_21	534	16	N	Y	1	none	*	21
contig_22	1943	15	N	Y	1	none	*	22
contig_24	936	17	N	Y	1	none	*	24
contig_25	853	9	N	Y	1	none	*	25
contig_26	881	1	N	Y	1	none	*	26
contig_27	942	17	N	Y	1	none	*	27
contig_28	708	1	N	Y	1	none	*	28
contig_29	1502	18	N	Y	1	both	*	29
contig_30	7076	2	N	Y	1	none	*	30
contig_32	12603	9	N	Y	1	both	*	32
contig_36	1491	1	N	Y	1	none	*	36
contig_37	989	1	N	Y	1	both	*	37
contig_38	804	0	N	Y	1	both	*	38
contig_42	582	13	N	Y	1	none	*	42
contig_43	573	9	N	Y	1	none	*	43
contig_46	22139	1	Y	Y	1	none	*	46
contig_49	4313	1	N	Y	1	none	*	49
contig_53	543	1108	N	Y	65	none	*	53
contig_54	1283	9	N	Y	1	none	*	54
contig_63	1560	2	N	Y	1	none	*	63
contig_69	1396	6	N	Y	1	both	*	69
contig_70	1007	2	N	Y	1	both	*	70
contig_73	539	2	N	Y	1	both	4	73
contig_74	580	3	N	Y	1	both	4	74
contig_77	1995	3	Y	Y	1	none	*	77
contig_81	1870	9	Y	Y	1	none	*	81
contig_82	3618	1	N	Y	1	both	6	82
contig_83	3625	1	N	Y	1	both	6	83
contig_84	3195	0	N	Y	1	none	*	84
contig_87	2673	1	N	Y	1	none	*	87
contig_89	1739	1	N	Y	1	none	*	89
contig_102	738	1	N	Y	1	none	*	102
contig_103	2856	1	N	Y	1	none	*	103
contig_109	1629	2	N	Y	1	none	*	109
contig_111	534	6	Y	Y	1	none	2	111
contig_112	3649	6	Y	Y	1	none	*	112
contig_113	564	2	N	Y	1	both	8	113
contig_114	798	3	N	Y	1	both	8	114
contig_118	683	2	N	Y	1	none	*	118
contig_124	1185	3	N	Y	1	none	*	124
contig_126	1001	0	N	Y	1	none	*	126
contig_130	3907	1	N	Y	1	both	10	130
contig_136	4369	4	Y	Y	1	none	*	136
contig_142	1793	6	N	Y	1	none	*	142
contig_143	1612	2	N	Y	1	none	*	143
contig_144	1898	4	N	Y	1	none	*	144
contig_146	783	1	N	Y	1	both	12	146
contig_147	1057	1	N	Y	1	both	14	147
contig_148	3526	2	N	Y	1	both	14	148
contig_164	1290	2	Y	Y	1	none	*	164
contig_166	1825	6	Y	Y	1	none	*	166
contig_167	3083	2	N	Y	1	none	*	167
contig_168	8412	1	N	Y	1	none	*	168
contig_169	536	1	N	Y	1	both	16	169
contig_170	558	1	N	Y	1	both	16	170
contig_171	3152	1	N	Y	1	none	*	171
contig_179	3156	2	Y	Y	1	none	*	179
contig_180	2522	2	Y	Y	1	none	*	180
contig_181	4086	46	Y	Y	3	none	*	181
contig_182	4238	2	N	Y	1	left	*	182
contig_183	4988	1	N	Y	1	both	*	183
contig_184	3328	34	N	Y	2	both	*	184
contig_186	4538	2	Y	Y	1	none	*	186
contig_187	5945	1	Y	Y	1	none	*	187
contig_188	3815	3	Y	Y	1	none	*	188
contig_189	4299	1	Y	Y	1	none	*	189
contig_190	5372	2	Y	Y	1	none	*	190
contig_191	5901	2	Y	Y	1	none	*	191
contig_192	4267	3	Y	Y	1	none	*	192
contig_193	4972	2	Y	Y	1	none	*	193
contig_194	4483	4	Y	Y	1	none	*	194
contig_196	3954	2	Y	Y	1	none	*	196
contig_197	8130	2	N	Y	1	left	*	197
contig_199	3403	4	Y	Y	1	none	*	199
contig_201	3922	1	N	Y	1	both	10	201
contig_202	3783	2	Y	Y	1	none	*	202
contig_203	2408	3	Y	Y	1	none	*	203
contig_204	4832	1	N	Y	1	both	12	204
contig_205	3741	1	Y	Y	1	none	*	205
contig_206	3904	4	Y	Y	1	none	*	206
contig_208	3523	2	Y	Y	1	none	*	208
contig_210	2781	2	Y	Y	1	none	*	210
contig_211	6239	2	Y	Y	1	none	*	211
contig_212	5541	2	Y	Y	1	none	*	212
contig_213	7015	2	Y	Y	1	none	*	213
contig_215	5469	1	Y	Y	1	none	*	215
contig_216	3956	2	Y	Y	1	none	*	216
contig_217	2160	3	Y	Y	1	none	*	217
