#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_32	12492	6	N	Y	1	*	*,32,*
contig_41	12323	5	N	N	1	*	-12,-12,-12,-14,23,41,-23,7,6,6,6,6,6,7,6
contig_168	8556	3	N	Y	1	*	168
contig_209	8352	6	Y	N	1	*	209
contig_30	7092	3	N	Y	1	*	30
contig_213	7075	4	Y	Y	1	*	213
contig_101	6834	6	N	N	1	*	104,-105,101,-100,-98,-97,96,-97,96,99
contig_155	6807	7	N	N	1	*	*,155,*
contig_127	6711	6	Y	N	1	*	127
contig_4	6439	5	N	N	1	*	*,4,-5
contig_3	6157	3	N	N	1	*	*,3,*
contig_86	6152	6	N	N	1	*	85,86,-88
contig_193	6091	3	Y	Y	1	*	193
contig_121	6090	3	N	N	1	*	-200,121,122
contig_134	6078	3	N	N	1	*	*,134,*
contig_195	5910	6	Y	N	1	*	195
contig_185	5906	3	Y	N	1	*	185
contig_39	5694	4	N	N	1	*	*,39,*
contig_106	5635	3	N	N	1	*	*,106,*
contig_59	5611	7	N	N	1	*	*,59,*
contig_212	5606	4	Y	Y	1	*	212
contig_76	5555	3	N	N	1	*	*,76,*
contig_129	5491	4	Y	N	1	*	129
contig_158	5295	5	N	N	1	*	*,157,158,-157,-157,*
contig_138	5266	4	N	N	1	*	*,138,*
contig_198	5248	4	N	N	1	*	31,198,*
contig_204	4985	3	N	Y	1	12	*,204,*
contig_153	4950	5	N	N	1	*	152,-152,152,-152,153,154
contig_194	4772	4	Y	Y	1	*	194
contig_207	4640	3	N	N	1	*	*,207,*
contig_150	4617	3	N	N	1	*	*,150,*
contig_186	4541	3	Y	Y	1	*	186
contig_49	4495	3	N	Y	1	*	49
contig_16	4450	3	N	N	1	*	90,16,*
contig_136	4400	4	Y	Y	1	*	136
contig_108	4364	3	N	N	1	*	*,108,*
contig_192	4290	5	Y	Y	1	*	192
contig_60	4139	6	N	N	1	*	*,60,*
contig_107	4133	3	N	N	1	*	*,107,*
contig_117	4106	3	N	N	1	*	*,117,*
contig_214	4096	5	Y	N	1	*	214
contig_181	4086	62	Y	Y	3	*	181
contig_196	4078	3	Y	Y	1	*	196
contig_123	4076	5	N	N	1	*	*,123,*
contig_35	4072	4	N	N	1	*	*,35,*
contig_58	4032	3	N	N	1	*	*,58,*
contig_182	3995	4	N	Y	1	*	*,182
contig_216	3974	4	Y	Y	1	*	216
contig_68	3915	5	N	N	1	*	*,68,*
contig_206	3894	4	Y	Y	1	*	206
contig_57	3862	11	N	N	2	*	*,57,*
contig_165	3839	5	N	N	1	*	*,165,*
contig_202	3786	3	Y	Y	1	*	202
contig_112	3777	5	Y	Y	1	*	112
contig_44	3710	4	N	N	1	*	*,44,*
contig_148	3559	3	N	Y	1	14	*,148,*
contig_208	3521	3	Y	Y	1	*	208
contig_1	3510	5	N	N	1	*	*,1,*
contig_199	3446	6	Y	Y	1	*	199
contig_159	3390	7	N	N	1	*	*,159,*
contig_184	3328	49	N	Y	2	*	*,184,*
contig_65	3308	3	N	N	1	*	*,65,*
contig_132	3305	4	N	N	1	*	*,132,*
contig_84	3238	3	N	Y	3	*	84
contig_179	3236	5	Y	Y	1	*	179
contig_34	3231	4	N	N	1	*	*,34,*
